participant,baseline,adapting,task,trial,temperature,accuracy,active_interval,active_zone,rt,repetition,baseline_flag,target_flag,deviation_flag,recorded_temperature
1,31.2,30.2,1,29,2.6,1,1,1,1.01021519998903,0,0,0,0,32.6954545454545
1,31.2,30.2,1,30,2.6,1,2,2,0.443253599994932,0,0,0,0,32.7032608695652
1,31.2,31.2,1,1,2.6,1,2,1,0.438041200002772,0,0,0,0,33.65
1,31.2,31.2,1,2,2,1,2,2,1.74548959999811,0,0,1,0,33.00625
1,31.2,31.2,1,3,1.8,1,1,1,1.16221779999614,0,0,0,0,32.8902173913043
1,31.2,31.2,1,4,1.4,1,1,2,0.923768199994811,0,0,1,0,32.4
1,31.2,31.2,1,5,1.2,1,1,1,0.787284700010787,0,0,0,0,32.3
1,31.2,31.2,1,6,1,1,2,2,0.872066500000074,0,0,0,0,32.1
1,31.2,31.2,1,7,0.8,1,2,1,1.29778069999884,0,0,0,0,31.9
1,31.2,31.2,1,8,0.6,1,2,2,0.763034599993262,0,0,0,0,31.65
1,31.2,31.2,1,9,0.6,0,1,1,1.41858490000595,0,0,1,0,31.65
1,31.2,31.2,1,10,1,0,1,2,1.71664680000686,0,0,0,0,32.1
1,31.2,31.2,1,11,1.6,1,1,1,1.14676570000302,0,0,0,0,32.6566666666667
1,31.2,31.2,1,12,1.6,0,2,2,0.85058339999523,0,0,0,0,32.6336956521739
1,31.2,31.2,1,13,2.4,1,1,1,1.98590099999274,0,0,0,0,33.4565217391304
1,31.2,31.2,1,14,2.2,0,2,2,1.53568559999985,0,0,1,0,33.213829787234
1,31.2,31.2,1,15,3.2,1,2,1,0.401710300007835,0,0,0,0,34.2815217391304
1,31.2,31.2,1,16,3,1,2,2,1.06618350000645,0,0,1,0,34.01
1,31.2,31.2,1,17,2.8,1,1,1,1.40149889999884,0,0,0,0,33.8954545454545
1,31.2,31.2,1,18,2.8,1,1,2,1.25017699999444,0,0,0,0,33.8322222222222
1,31.2,31.2,1,19,2.6,1,2,1,1.71554279999691,0,0,0,0,33.6702127659574
1,31.2,31.2,1,20,2,1,1,2,1.23800399999891,0,0,1,0,33
1,31.2,31.2,1,21,2,1,1,1,1.36172929999884,0,0,0,0,33.0734042553192
1,31.2,31.2,1,22,2,1,2,2,1.03631680000399,0,0,1,0,33.0239583333333
1,31.2,31.2,1,23,2,1,2,1,1.28050480000093,0,0,0,0,33.06875
1,31.2,31.2,1,24,1.8,1,1,2,1.04136180000205,0,0,0,0,32.85
1,31.2,31.2,1,25,1.8,1,2,1,1.32280349999201,0,0,0,0,32.8652173913043
1,31.2,31.2,1,26,1.4,1,2,2,1.85304909999832,0,0,1,0,32.4
1,31.2,31.2,1,27,1.4,0,1,1,1.27395760000218,0,0,0,0,32.5
1,31.2,31.2,1,28,2,1,1,2,1.09129989999929,0,0,1,0,33
1,31.2,31.2,1,29,1.8,1,1,1,1.20337160000054,0,0,0,0,32.85
1,31.2,31.2,1,30,1.8,0,2,2,0.431637500005309,0,0,0,0,32.8
3,32,30,0,1,1.8,1,1,1,0.925151000032201,0,0,0,0,28.2
3,32,30,0,2,1.6,1,2,2,0.378545199986547,0,0,0,0,28.4
3,32,30,0,3,1.2,1,1,1,0.341142300050706,0,0,0,0,28.8
3,32,30,0,4,1,1,2,2,0.393669700017199,0,0,0,0,29
3,32,30,0,5,0.8,1,2,1,0.399618700146675,0,0,0,0,29.2
3,32,30,0,6,0.6,1,1,2,0.357986700022593,0,0,0,0,29.4
3,32,30,0,7,0.4,1,2,1,0.464185999939218,0,0,0,0,29.6
3,32,30,0,8,0.4,1,1,2,0.425513299880549,0,0,0,0,29.6
3,32,30,0,9,0.4,1,2,1,0.293957799905911,0,0,0,0,29.6
3,32,30,0,10,0.2,1,1,2,0.396751200081781,0,0,0,0,29.8
3,32,30,0,11,0.2,1,2,1,0.520853199996054,0,0,0,0,29.8
3,32,30,0,12,0.2,0,1,2,0.765308199916035,0,0,0,0,29.8
3,32,30,0,13,0.4,1,1,1,0.415490800049156,0,0,0,0,29.6
3,32,30,0,14,0.4,1,2,2,0.427817299962044,0,0,0,0,29.6
3,32,30,0,15,0.4,1,2,1,0.551439699949697,0,0,0,0,29.6
3,32,30,0,16,0.4,1,1,2,0.401780199958012,0,0,0,0,29.6
3,32,30,0,17,0.4,0,1,1,0.608606699854136,0,0,0,0,29.6
3,32,30,0,18,0.6,1,2,2,0.283420499879867,0,0,0,0,29.4
3,32,30,0,19,0.4,1,1,1,0.392675200011581,0,0,0,0,29.6
3,32,30,0,20,0.4,1,2,2,0.271837299922481,0,0,0,0,29.6
3,32,30,0,21,0.4,1,2,1,0.693399599986151,0,0,0,0,29.6
