participant,baseline,adapting,task,trial,temperature,accuracy
1,31.2,30.2,1,18,1.8,0
1,31.2,30.2,1,19,2.2,0
1,31.2,30.2,1,20,3,1
1,31.2,30.2,1,21,2.8,1
1,31.2,30.2,1,22,2.8,1
1,31.2,30.2,1,23,2.6,1
1,31.2,30.2,1,24,2.4,1
1,31.2,30.2,1,25,2.2,1
1,31.2,30.2,1,26,2.2,1
1,31.2,30.2,1,27,2,1
1,31.2,30.2,1,28,2,0
1,31.2,30.2,1,29,2.6,1
1,31.2,30.2,1,30,2.6,1
1,31.2,31.2,1,1,2.6,1
1,31.2,31.2,1,2,2,1
1,31.2,31.2,1,3,1.8,1
1,31.2,31.2,1,4,1.4,1
1,31.2,31.2,1,5,1.2,1
1,31.2,31.2,1,6,1,1
1,31.2,31.2,1,7,0.8,1
1,31.2,31.2,1,8,0.6,1
1,31.2,31.2,1,9,0.6,0
1,31.2,31.2,1,10,1,0
1,31.2,31.2,1,11,1.6,1
1,31.2,31.2,1,12,1.6,0
1,31.2,31.2,1,13,2.4,1
1,31.2,31.2,1,14,2.2,0
1,31.2,31.2,1,15,3.2,1
1,31.2,31.2,1,16,3,1
1,31.2,31.2,1,17,2.8,1
1,31.2,31.2,1,18,2.8,1
1,31.2,31.2,1,19,2.6,1
1,31.2,31.2,1,20,2,1
1,31.2,31.2,1,21,2,1
1,31.2,31.2,1,22,2,1
1,31.2,31.2,1,23,2,1
1,31.2,31.2,1,24,1.8,1
1,31.2,31.2,1,25,1.8,1
1,31.2,31.2,1,26,1.4,1
1,31.2,31.2,1,27,1.4,0
1,31.2,31.2,1,28,2,1
1,31.2,31.2,1,29,1.8,1
1,31.2,31.2,1,30,1.8,0
1,31.2,32.2,1,1,2.6,1
1,31.2,32.2,1,2,2,1
1,31.2,32.2,1,3,1.8,0
1,31.2,32.2,1,4,3,1
1,31.2,32.2,1,5,2.8,1
1,31.2,32.2,1,6,2.6,1
1,31.2,32.2,1,7,2.4,1
1,31.2,32.2,1,8,2.2,1
1,31.2,32.2,1,9,2.2,1
1,31.2,32.2,1,10,2.2,0
1,31.2,32.2,1,11,2.8,1
1,31.2,32.2,1,12,2.6,1
1,31.2,32.2,1,13,2.6,1
1,31.2,32.2,1,14,2.4,1
1,31.2,32.2,1,15,2.4,1
1,31.2,32.2,1,16,2,1
1,31.2,32.2,1,17,2,1
1,31.2,32.2,1,18,2,0
1,31.2,32.2,1,19,2.4,1
1,31.2,32.2,1,20,2.4,1
1,31.2,32.2,1,21,2.4,1
1,31.2,32.2,1,22,2,0
1,31.2,32.2,1,23,2.4,1
1,31.2,32.2,1,24,2.4,1
1,31.2,32.2,1,25,2.4,1
1,31.2,32.2,1,26,2.4,1
1,31.2,32.2,1,27,2.4,1
1,31.2,32.2,1,28,2.4,1
1,31.2,32.2,1,29,2,1
1,31.2,32.2,1,30,2,1
1,31.2,33.2,1,1,2.6,1
1,31.2,33.2,1,2,2,1
1,31.2,33.2,1,3,1.8,1
1,31.2,33.2,1,4,1.4,1
1,31.2,33.2,1,5,1.2,1
1,31.2,33.2,1,6,1,1
1,31.2,33.2,1,7,0.8,1
1,31.2,33.2,1,8,0.6,0
1,31.2,33.2,1,9,1.2,1
1,31.2,33.2,1,10,1,0
1,31.2,33.2,1,11,1.6,1
1,31.2,33.2,1,12,1.4,0
1,31.2,33.2,1,13,2.2,1
1,31.2,33.2,1,14,2,1
1,31.2,33.2,1,15,1.8,1
1,31.2,33.2,1,16,1.8,1
1,31.2,33.2,1,17,1.6,1
1,31.2,33.2,1,18,1.6,0
1,31.2,33.2,1,19,2,1
1,31.2,33.2,1,20,2,1
1,31.2,33.2,1,21,1.8,1
1,31.2,33.2,1,22,1.8,0
1,31.2,33.2,1,23,2.2,1
1,31.2,33.2,1,24,2.2,1
1,31.2,33.2,1,25,2,1
1,31.2,33.2,1,26,2,1
1,31.2,33.2,1,27,1.6,1
1,31.2,33.2,1,28,1.6,0
1,31.2,33.2,1,29,2,1
1,31.2,33.2,1,30,2,1
3,32,30,0,1,1.8,1
3,32,30,0,2,1.6,1
3,32,30,0,3,1.2,1
3,32,30,0,4,1,1
3,32,30,0,5,0.8,1
3,32,30,0,6,0.6,1
3,32,30,0,7,0.4,1
3,32,30,0,8,0.4,1
3,32,30,0,9,0.4,1
3,32,30,0,10,0.2,1
3,32,30,0,11,0.2,1
3,32,30,0,12,0.2,0
3,32,30,0,13,0.4,1
3,32,30,0,14,0.4,1
3,32,30,0,15,0.4,1
3,32,30,0,16,0.4,1
3,32,30,0,17,0.4,0
3,32,30,0,18,0.6,1
3,32,30,0,19,0.4,1
3,32,30,0,20,0.4,1
3,32,30,0,21,0.4,1
3,32,30,0,22,0.4,1
3,32,30,0,23,0.4,1
3,32,30,0,24,0.4,1
3,32,30,0,25,0.4,1
3,32,30,0,26,0.4,1
3,32,30,0,27,0.4,1
3,32,30,0,28,0.4,1
3,32,30,0,29,0.2,0
3,32,30,0,30,0.4,1
3,32,31,0,1,1.8,1
3,32,31,0,2,1.6,1
3,32,31,0,3,1.2,1
3,32,31,0,4,1,1
3,32,31,0,5,0.8,1
3,32,31,0,6,0.6,1
3,32,31,0,7,0.4,1
3,32,31,0,8,0.4,1
3,32,31,0,9,0.4,1
3,32,31,0,10,0.2,1
3,32,31,0,11,0.2,0
3,32,31,0,12,0.4,1
3,32,31,0,13,0.4,1
3,32,31,0,14,0.4,1
3,32,31,0,15,0.4,1
3,32,31,0,16,0.4,1
3,32,31,0,17,0.4,1
3,32,31,0,18,0.4,1
3,32,31,0,19,0.4,1
3,32,31,0,20,0.4,1
3,32,31,0,21,0.4,1
3,32,31,0,22,0.4,1
3,32,31,0,23,0.2,1
3,32,31,0,24,0.2,1
3,32,31,0,25,0.2,1
3,32,31,0,26,0.2,1
3,32,31,0,27,0.2,1
3,32,31,0,28,0.2,1
3,32,31,0,29,0.2,0
3,32,31,0,30,0.4,1
3,32,32,0,1,1.8,1
3,32,32,0,2,1.6,1
3,32,32,0,3,1.2,1
3,32,32,0,4,1,1
3,32,32,0,5,0.8,1
3,32,32,0,6,0.6,1
3,32,32,0,7,0.4,1
3,32,32,0,8,0.4,1
3,32,32,0,9,0.4,1
3,32,32,0,10,0.2,1
3,32,32,0,11,0.2,0
3,32,32,0,12,0.4,0
3,32,32,0,13,0.6,1
3,32,32,0,14,0.6,1
3,32,32,0,15,0.6,1
3,32,32,0,16,0.6,1
3,32,32,0,17,0.6,1
3,32,32,0,18,0.6,1
3,32,32,0,19,0.6,1
3,32,32,0,20,0.6,1
3,32,32,0,21,0.6,1
3,32,32,0,22,0.4,0
3,32,32,0,23,0.6,1
3,32,32,0,24,0.6,1
3,32,32,0,25,0.6,1
3,32,32,0,26,0.6,1
3,32,32,0,27,0.6,1
3,32,32,0,28,0.6,1
3,32,32,0,29,0.6,1
3,32,32,0,30,0.6,1
3,32,33,0,1,1.8,1
3,32,33,0,2,1.6,1
3,32,33,0,3,1.2,1
3,32,33,0,4,1,1
3,32,33,0,5,0.8,1
3,32,33,0,6,0.6,1
3,32,33,0,7,0.4,1
3,32,33,0,8,0.4,1
3,32,33,0,9,0.4,1
3,32,33,0,10,0.2,1
3,32,33,0,11,0.2,0
3,32,33,0,12,0.4,1
3,32,33,0,13,0.4,1
3,32,33,0,14,0.4,1
3,32,33,0,15,0.4,1
3,32,33,0,16,0.4,1
3,32,33,0,17,0.4,1
3,32,33,0,18,0.4,1
3,32,33,0,19,0.4,1
3,32,33,0,20,0.4,1
3,32,33,0,21,0.4,1
3,32,33,0,22,0.4,1
3,32,33,0,23,0.2,1
3,32,33,0,24,0.2,0
3,32,33,0,25,0.4,1
3,32,33,0,26,0.4,1
3,32,33,0,27,0.4,1
3,32,33,0,28,0.4,1
3,32,33,0,29,0.4,1
3,32,33,0,30,0.4,1
3,32,34,0,1,1.8,1
3,32,34,0,2,1.6,1
3,32,34,0,3,1.2,1
3,32,34,0,4,1,1
3,32,34,0,5,0.8,1
3,32,34,0,6,0.6,1
3,32,34,0,7,0.4,0
3,32,34,0,8,0.8,1
3,32,34,0,9,0.8,1
3,32,34,0,10,0.8,1
3,32,34,0,11,0.6,1
3,32,34,0,12,0.6,1
3,32,34,0,13,0.6,1
3,32,34,0,14,0.6,1
3,32,34,0,15,0.6,1
3,32,34,0,16,0.6,1
3,32,34,0,17,0.6,1
3,32,34,0,18,0.6,1
3,32,34,0,19,0.6,1
3,32,34,0,20,0.2,0
3,32,34,0,21,0.6,1
3,32,34,0,22,0.6,1
3,32,34,0,23,0.6,1
3,32,34,0,24,0.6,1
3,32,34,0,25,0.6,1
3,32,34,0,26,0.6,1
3,32,34,0,27,0.6,1
3,32,34,0,28,0.6,1
3,32,34,0,29,0.6,1
3,32,34,0,30,0.6,1
3,32,30,1,1,2.6,1
3,32,30,1,2,2,1
3,32,30,1,3,1.8,1
3,32,30,1,4,1.4,1
3,32,30,1,5,1.2,0
3,32,30,1,6,2.2,1
3,32,30,1,7,2,1
3,32,30,1,8,1.8,1
3,32,30,1,9,1.6,1
3,32,30,1,10,1.6,0
3,32,30,1,11,2.2,1
3,32,30,1,12,2,1
3,32,30,1,13,2,1
3,32,30,1,14,1.8,1
3,32,30,1,15,1.8,1
3,32,30,1,16,1.8,1
3,32,30,1,17,1.4,0
3,32,30,1,18,1.8,1
3,32,30,1,19,1.8,0
3,32,30,1,20,2,0
3,32,30,1,21,2.4,1
3,32,30,1,22,2.4,0
3,32,30,1,23,3,1
3,32,30,1,24,3,1
3,32,30,1,25,3,1
3,32,30,1,26,2.8,1
3,32,30,1,27,2.8,1
3,32,30,1,28,2.6,1
3,32,30,1,29,2.2,1
3,32,30,1,30,2.2,0
3,32,31,1,1,2.6,1
3,32,31,1,2,2,1
3,32,31,1,3,1.8,1
3,32,31,1,4,1.4,0
3,32,31,1,5,2.4,1
3,32,31,1,6,2.2,1
3,32,31,1,7,2,0
3,32,31,1,8,2.8,1
3,32,31,1,9,2.8,1
3,32,31,1,10,2.6,0
3,32,31,1,11,3.4,1
3,32,31,1,12,3.2,1
3,32,31,1,13,3.2,1
3,32,31,1,14,3,1
3,32,31,1,15,3,1
3,32,31,1,16,2.4,1
3,32,31,1,17,2.4,1
3,32,31,1,18,2.4,1
3,32,31,1,19,2.4,1
3,32,31,1,20,2.2,1
3,32,31,1,21,2.2,1
3,32,31,1,22,2.2,1
3,32,31,1,23,1.8,1
3,32,31,1,24,1.8,0
3,32,31,1,25,2.2,0
3,32,31,1,26,2.4,1
3,32,31,1,27,2.4,1
3,32,31,1,28,2.4,1
3,32,31,1,29,2.4,1
3,32,31,1,30,2.4,1
3,32,32,1,1,2.6,1
3,32,32,1,2,2,1
3,32,32,1,3,1.8,1
3,32,32,1,4,1.4,1
3,32,32,1,5,1.2,1
3,32,32,1,6,1,1
3,32,32,1,7,0.8,0
3,32,32,1,8,1.4,1
3,32,32,1,9,1.4,1
3,32,32,1,10,1.2,1
3,32,32,1,11,1.2,1
3,32,32,1,12,1,1
3,32,32,1,13,1,1
3,32,32,1,14,1,1
3,32,32,1,15,1,1
3,32,32,1,16,1,1
3,32,32,1,17,0.6,1
3,32,32,1,18,0.6,1
3,32,32,1,19,0.6,0
3,32,32,1,20,1,1
3,32,32,1,21,1,1
3,32,32,1,22,1,1
3,32,32,1,23,1,1
3,32,32,1,24,1,1
3,32,32,1,25,0.6,1
3,32,32,1,26,0.6,0
3,32,32,1,27,1,1
3,32,32,1,28,1,1
3,32,32,1,29,1,1
3,32,32,1,30,1,1
3,32,33,1,1,2.6,1
3,32,33,1,2,2,1
3,32,33,1,3,1.8,1
3,32,33,1,4,1.4,1
3,32,33,1,5,1.2,1
3,32,33,1,6,1,1
3,32,33,1,7,0.8,1
3,32,33,1,8,0.6,1
3,32,33,1,9,0.6,1
3,32,33,1,10,0.4,1
3,32,33,1,11,0.4,1
3,32,33,1,12,0.2,1
3,32,33,1,13,0.2,0
3,32,33,1,14,0.4,1
3,32,33,1,15,0.4,1
3,32,33,1,16,0.4,0
3,32,33,1,17,0.6,0
3,32,33,1,18,1,1
3,32,33,1,19,0.8,0
3,32,33,1,20,1.2,1
3,32,33,1,21,1.2,0
3,32,33,1,22,1.8,1
3,32,33,1,23,1.6,1
3,32,33,1,24,1.6,1
3,32,33,1,25,1.4,0
3,32,33,1,26,2,1
3,32,33,1,27,1.8,1
3,32,33,1,28,1.8,1
3,32,33,1,29,1.6,1
3,32,33,1,30,1.6,1
3,32,34,1,1,2.6,1
3,32,34,1,2,2,1
3,32,34,1,3,1.8,1
3,32,34,1,4,1.4,1
3,32,34,1,5,1.2,1
3,32,34,1,6,1,1
3,32,34,1,7,0.8,1
3,32,34,1,8,0.6,1
3,32,34,1,9,0.6,0
3,32,34,1,10,1,1
3,32,34,1,11,1,1
3,32,34,1,12,1,1
3,32,34,1,13,0.8,0
3,32,34,1,14,1.2,1
3,32,34,1,15,1,1
3,32,34,1,16,1,1
3,32,34,1,17,1,1
3,32,34,1,18,1,1
3,32,34,1,19,1,1
3,32,34,1,20,1,1
3,32,34,1,21,1,1
3,32,34,1,22,1,1
3,32,34,1,23,0.6,0
3,32,34,1,24,1,1
3,32,34,1,25,1,1
3,32,34,1,26,1,1
3,32,34,1,27,1,1
3,32,34,1,28,1,1
3,32,34,1,29,1,0
3,32,34,1,30,1,1
4,32.5,30.5,0,1,1.8,1
4,32.5,30.5,0,2,1.6,1
4,32.5,30.5,0,3,1.2,1
4,32.5,30.5,0,4,1,0
4,32.5,30.5,0,5,1.8,1
4,32.5,30.5,0,6,1.8,1
4,32.5,30.5,0,7,1.4,1
4,32.5,30.5,0,8,1.4,1
